name,rank,count
SMITH,1,2369644
JOHNSON,2,1858234
WILLIAMS,3,1561395
BROWN,4,1386083
JONES,5,1383250
GARCIA,6,1149510
MILLER,7,1129186
RODRIGUEZ,8,1085838
DAVIS,9,1074448
MARTINEZ,10,1039848
HERNANDEZ,11,1013895
LOPEZ,12,878958
GONZALEZ,13,828405
WILSON,14,777275
ANDERSON,15,756560
THOMAS,16,734345
TAYLOR,17,723758
MOORE,18,696384
LEE,19,695657
JACKSON,20,686937
PEREZ,21,680712
MARTIN,22,678691
THOMPSON,23,640099
WHITE,24,636798
SANCHEZ,25,607848
HARRIS,26,603371
RAMIREZ,27,544204
CLARK,28,539661
NGUYEN,29,531404
LEWIS,30,515459
ROBINSON,31,510138
WALKER,32,504833
HALL,33,470080
YOUNG,34,468920
ALLEN,35,465583
KING,36,453539
WRIGHT,37,443210
TORRES,38,435998
FLORES,39,426965
SCOTT,40,421499
HILL,41,419076
GREEN,42,415664
ADAMS,43,413470
NELSON,44,410801
BAKER,45,401148
RIVERA,46,398449
MITCHELL,47,372104
CAMPBELL,48,370555
GOMEZ,49,368213
CARTER,50,364355
ROBERTS,51,362049
DIAZ,52,356910
PHILLIPS,53,343656
EVANS,54,343493
CRUZ,55,342580
REYES,56,335828
TURNER,57,333512
PARKER,58,323880
EDWARDS,59,320927
COLLINS,60,317373
STEWART,61,311429
MORALES,62,310866
PATEL,63,309327
MORRIS,64,307446
MURPHY,65,298047
COOK,66,290386
ROGERS,67,289242
ORTIZ,68,288277
MORGAN,69,276366
GUTIERREZ,70,275216
KIM,71,274068
COOPER,72,271453
BAILEY,73,269092
RAMOS,74,268640
REED,75,268584
BELL,76,267025
PETERSON,77,265150
DOE,78,262774
WARD,79,255767
KELLY,80,255516
HOWARD,81,253434
COX,82,249872
RICHARDSON,83,249840
CHAVEZ,84,244201
BROOKS,85,244116
JAMES,86,243502
WATSON,87,242956
MENDOZA,88,242772
GRAY,89,241208
BENNETT,90,239397
WOOD,91,238948
RUIZ,92,237286
CHEN,93,233798
CASTILLO,94,231347
ALVAREZ,95,229446
HUGHES,96,226912
PRICE,97,225734
JIMENEZ,98,225722
ROSS,99,224952
LONG,100,223485
TRAN,101,223440
SANDERS,102,221987
MYERS,103,220983
FOSTER,104,218824
POWELL,105,216911
JENKINS,106,213644
SULLIVAN,107,212701
RUSSELL,108,211729
PERRY,109,211657
COLEMAN,110,211259
HENDERSON,111,210128
BUTLER,112,208167
ROMERO,113,208066
GONZALES,114,207620
FISHER,115,206799
BARNES,116,206431
VASQUEZ,117,201992
JORDAN,118,200984
SIMMONS,119,199853
ALEXANDER,120,197734
PATTERSON,121,197137
HAMILTON,122,194450
GRAHAM,123,194159
MORENO,124,192910
REYNOLDS,125,191703
GRIFFIN,126,191130
WEST,127,189360
WALLACE,128,189325
COLE,129,187989
CASTRO,130,187649
HERRERA,131,186848
MEDINA,132,186456
HAYES,133,186445
FERNANDEZ,134,185352
BRYANT,135,184727
GIBSON,136,182917
ELLIS,137,182308
AGUILAR,138,180700
MURRAY,139,179133
FORD,140,178559
STEVENS,141,177585
MARSHALL,142,175713
OWENS,143,175160
VARGAS,144,174429
MCDONALD,145,172700
HARRISON,146,172637
WOODS,147,172463
WASHINGTON,148,172075
KENNEDY,149,171457
GUZMAN,150,170696
WANG,151,169987
WELLS,152,169750
HENRY,153,166610
LI,154,165790
MENDEZ,155,165623
SINGH,156,163612
SILVA,157,162724
WEBB,158,162492
FREEMAN,159,162107
TUCKER,160,160581
CRAWFORD,161,159143
BURNS,162,159111
GORDON,163,157985
MUNOZ,164,156875
PORTER,165,156720
OLSON,166,156271
SIMPSON,167,156097
HUNTER,168,155740
SHAW,169,155184
DIXON,170,154538
MASON,171,153847
SNYDER,172,152979
HUNT,173,152764
HICKS,174,151942
BLACK,175,151439
PALMER,176,151165
SALAZAR,177,150906
HOLMES,178,150877
ROSE,179,149763
FOX,180,149757
WAGNER,181,149267
BOYD,182,147346
MEYER,183,147096
STONE,184,147006
ROBERTSON,185,146630
WARREN,186,145946
MILLS,187,145448
SOTO,188,145165
GARZA,189,144658
SANTOS,190,144026
VAZQUEZ,191,143372
RICE,192,142463
SCHMIDT,193,142290
DANIELS,194,141286
WEAVER,195,140670
GRANT,196,139862
STEPHENS,197,139485
